feature_name,meaning,feature_family,data_type,time_scope,value_role,nullable,non_null_count,null_count,null_rate,zero_count,companion_feature,missing_meaning,modeling_role,baseline_set,decision_rationale
race_weight_condition,Declared race condition/value,현재 경주 조건,VARCHAR,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_prize_condition,Declared race condition/value,현재 경주 조건,VARCHAR,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_sex_condition,Declared race condition/value,현재 경주 조건,VARCHAR,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_type,Declared race condition/value,현재 경주 조건,VARCHAR,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_day_of_week,Declared race condition/value,현재 경주 조건,INTEGER,CURRENT,raw/current value,False,48524,0,0.0,22757,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_first_prize,Declared race condition/value,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_second_prize,Declared race condition/value,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_third_prize,Declared race condition/value,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_fourth_prize,Declared race condition/value,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_fifth_prize,Declared race condition/value,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,0,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_bonus_1,Declared 1st-place additional prize amount,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,47000,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_bonus_2,Declared 2nd-place additional prize amount,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,47000,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
race_bonus_3,Declared 3rd-place additional prize amount,현재 경주 조건,BIGINT,CURRENT,raw/current value,False,48524,0,0.0,47000,,현재 Snapshot에서는 결측 없음,MODEL_INPUT,A_CORE_MODEL_INPUT,경주 전 직접 관측 가능한 현재값
horse_prior_start_count,Existing place_feature_snapshot_v1 definition,말 장기 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,4973,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_finish_count,Existing place_feature_snapshot_v1 definition,말 장기 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,4983,,0은 해당 Historical 관측 없음,EXCLUDE_STRUCTURAL,D_STRUCTURAL_EXCLUSION,horse_prior_start_count × horse_prior_finish_rate로 정확히 복원 가능
horse_prior_finish_rate,Existing place_feature_snapshot_v1 definition,말 장기 이력,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,10,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_plc_hit_rate,Existing place_feature_snapshot_v1 definition,말 장기 이력,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,11323,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_avg_finish_rank,Existing place_feature_snapshot_v1 definition,말 장기 이력,DOUBLE,HISTORICAL,average/summary,True,43541,4983,0.10269145,0,horse_prior_start_count + horse_prior_finish_rate,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_days_since_last_start,Existing place_feature_snapshot_v1 definition,말 장기 이력,INTEGER,HISTORICAL,delta/recency,True,43551,4973,0.10248537,0,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_history_available,Existing place_feature_snapshot_v1 definition,말 장기 이력,BOOLEAN,HISTORICAL,availability flag,False,48524,0,0.0,4973,horse_prior_start_count,현재 Snapshot에서는 결측 없음,EXCLUDE_STRUCTURAL,D_STRUCTURAL_EXCLUSION,horse_prior_start_count > 0과 정의상 동일
horse_recent5_start_count,Existing place_feature_snapshot_v1 definition,recent form,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,4973,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_finish_rate,Existing place_feature_snapshot_v1 definition,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,10,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_plc_hit_rate,Existing place_feature_snapshot_v1 definition,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,15410,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_avg_finish_rank,Existing place_feature_snapshot_v1 definition,recent form,DOUBLE,HISTORICAL,average/summary,True,43541,4983,0.10269145,0,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_distance_start_count,Existing place_feature_snapshot_v1 definition,동일 거리 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,15115,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_distance_plc_hit_rate,Existing place_feature_snapshot_v1 definition,동일 거리 이력,DOUBLE,HISTORICAL,rate,True,33409,15115,0.31149534,13170,horse_same_distance_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
jockey_prior_start_count,Existing place_feature_snapshot_v1 definition,기수 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,334,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
jockey_prior_plc_hit_rate,Existing place_feature_snapshot_v1 definition,기수 이력,DOUBLE,HISTORICAL,rate,True,48190,334,0.00688319,298,jockey_prior_start_count,식별자 결측 또는 해당 관계의 과거 이력 없음; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
jockey_history_available,Existing place_feature_snapshot_v1 definition,기수 이력,BOOLEAN,HISTORICAL,availability flag,False,48524,0,0.0,334,jockey_prior_start_count,현재 Snapshot에서는 결측 없음,EXCLUDE_STRUCTURAL,D_STRUCTURAL_EXCLUSION,jockey_prior_start_count > 0과 정의상 동일
trainer_prior_start_count,Existing place_feature_snapshot_v1 definition,조교사 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,250,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
trainer_prior_plc_hit_rate,Existing place_feature_snapshot_v1 definition,조교사 이력,DOUBLE,HISTORICAL,rate,True,48274,250,0.00515209,273,trainer_prior_start_count,식별자 결측 또는 해당 관계의 과거 이력 없음; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
trainer_history_available,Existing place_feature_snapshot_v1 definition,조교사 이력,BOOLEAN,HISTORICAL,availability flag,False,48524,0,0.0,250,trainer_prior_start_count,현재 Snapshot에서는 결측 없음,EXCLUDE_STRUCTURAL,D_STRUCTURAL_EXCLUSION,trainer_prior_start_count > 0과 정의상 동일
horse_prior_win_count,historical official rank 1 count,말 장기 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,28336,,0은 해당 Historical 관측 없음,EXCLUDE_STRUCTURAL,D_STRUCTURAL_EXCLUSION,horse_prior_start_count × horse_prior_win_rate로 정확히 복원 가능
horse_prior_win_rate,historical official rank 1 / starts,말 장기 이력,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,23363,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_top3_count,historical official rank <=3 count,말 장기 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,16289,,0은 해당 Historical 관측 없음,EXCLUDE_STRUCTURAL,D_STRUCTURAL_EXCLUSION,horse_prior_start_count × horse_prior_top3_rate로 정확히 복원 가능
horse_prior_top3_rate,historical official rank <=3 / starts,말 장기 이력,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,11316,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_best_finish_rank,minimum historical valid finish rank,말 장기 이력,INTEGER,HISTORICAL,historical level,True,43541,4983,0.10269145,0,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_finish_rank_std,standard deviation of valid finish rank,말 장기 이력,DOUBLE,HISTORICAL,average/summary,True,39028,9496,0.19569697,624,horse_prior_start_count + horse_prior_finish_rate,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_rating_mean,mean historical rating,말 장기 이력,DOUBLE,HISTORICAL,average/summary,True,43551,4973,0.10248537,11906,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_last_rating,latest historical rating,말 장기 이력,INTEGER,HISTORICAL,historical level,True,43551,4973,0.10248537,11906,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_rating_change_last_start,current pre-race rating minus latest historical rating,말 장기 이력,INTEGER,HISTORICAL,delta/recency,True,43551,4973,0.10248537,25216,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_prior_carried_weight_mean,mean historical carried weight,말 장기 이력,DOUBLE,HISTORICAL,average/summary,True,43551,4973,0.10248537,0,horse_prior_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_finish_rate,valid finishes / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,10,horse_recent3_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_win_rate,official rank 1 / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,33495,horse_recent3_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_top3_rate,official rank <=3 / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,19825,horse_recent3_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_avg_finish_rank,mean rank among valid finishes,recent form,DOUBLE,HISTORICAL,average/summary,True,43541,4983,0.10269145,0,horse_recent3_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_best_finish_rank,minimum rank among valid finishes,recent form,INTEGER,HISTORICAL,historical level,True,43541,4983,0.10269145,0,horse_recent3_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_avg_rating,mean historical rating,recent form,DOUBLE,HISTORICAL,average/summary,True,43551,4973,0.10248537,11906,horse_recent3_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_rating_change,latest minus earliest rating in window,recent form,INTEGER,HISTORICAL,delta/recency,True,43551,4973,0.10248537,20291,horse_recent3_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_start_count,eligible observations in window,recent form,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,4973,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_win_rate,official rank 1 / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,29854,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_top3_rate,official rank <=3 / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,15399,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_best_finish_rank,minimum rank among valid finishes,recent form,INTEGER,HISTORICAL,historical level,True,43541,4983,0.10269145,0,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_avg_rating,mean historical rating,recent form,DOUBLE,HISTORICAL,average/summary,True,43551,4973,0.10248537,11906,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent5_rating_change,latest minus earliest rating in window,recent form,INTEGER,HISTORICAL,delta/recency,True,43551,4973,0.10248537,17215,horse_recent5_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_finish_rate,valid finishes / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,10,horse_recent10_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_win_rate,official rank 1 / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,25465,horse_recent10_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_top3_rate,official rank <=3 / starts,recent form,DOUBLE,HISTORICAL,rate,True,43551,4973,0.10248537,12083,horse_recent10_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_avg_finish_rank,mean rank among valid finishes,recent form,DOUBLE,HISTORICAL,average/summary,True,43541,4983,0.10269145,0,horse_recent10_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_best_finish_rank,minimum rank among valid finishes,recent form,INTEGER,HISTORICAL,historical level,True,43541,4983,0.10269145,0,horse_recent10_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_avg_rating,mean historical rating,recent form,DOUBLE,HISTORICAL,average/summary,True,43551,4973,0.10248537,11906,horse_recent10_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_rating_change,latest minus earliest rating in window,recent form,INTEGER,HISTORICAL,delta/recency,True,43551,4973,0.10248537,15982,horse_recent10_start_count,말의 과거 이력 또는 유효 관측 부족; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent10_start_count,eligible observations in window,recent form,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,4973,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_start_count,Historical start_count under same_meet,동일 경마장 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,5182,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_finish_rate,Historical finish_rate under same_meet,동일 경마장 이력,DOUBLE,HISTORICAL,rate,True,43342,5182,0.10679252,10,horse_same_meet_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_plc_hit_rate,Historical plc_hit_rate under same_meet,동일 경마장 이력,DOUBLE,HISTORICAL,rate,True,43342,5182,0.10679252,11395,horse_same_meet_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_avg_finish_rank,Historical avg_finish_rank under same_meet,동일 경마장 이력,DOUBLE,HISTORICAL,average/summary,True,43332,5192,0.1069986,0,horse_same_meet_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_distance_finish_rate,Historical finish_rate under same_distance,동일 거리 이력,DOUBLE,HISTORICAL,rate,True,33409,15115,0.31149534,22,horse_same_distance_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_distance_avg_finish_rank,Historical avg_finish_rank under same_distance,동일 거리 이력,DOUBLE,HISTORICAL,average/summary,True,33387,15137,0.31194873,0,horse_same_distance_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_distance_start_count,Historical start_count under same_meet_distance,동일 경마장×거리 이력,INTEGER,HISTORICAL,count/sample-size,False,48524,0,0.0,15330,,0은 해당 Historical 관측 없음,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_distance_finish_rate,Historical finish_rate under same_meet_distance,동일 경마장×거리 이력,DOUBLE,HISTORICAL,rate,True,33194,15330,0.31592614,22,horse_same_meet_distance_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_distance_plc_hit_rate,Historical plc_hit_rate under same_meet_distance,동일 경마장×거리 이력,DOUBLE,HISTORICAL,rate,True,33194,15330,0.31592614,13137,horse_same_meet_distance_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_same_meet_distance_avg_finish_rank,Historical avg_finish_rank under same_meet_distance,동일 경마장×거리 이력,DOUBLE,HISTORICAL,average/summary,True,33172,15352,0.31637952,0,horse_same_meet_distance_start_count,과거 이력은 있어도 해당 조건 이력이 없음; 조건 count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_race_time_median,median valid historical seconds,race time 이력,"DECIMAL(9,1)",HISTORICAL,average/summary,True,43541,4983,0.10269145,0,horse_recent3_race_time_count,과거 이력 부족 또는 해당 기록 미관측; companion count로 구분,REVIEW_REQUIRED,E_REVIEW_REQUIRED,거리·경마장 조건을 혼합한 절대 경주시간 중앙값이므로 보정 없는 모델 입력 여부 검토 필요
horse_recent3_race_time_count,valid observations,race time 이력,INTEGER,HISTORICAL,count/sample-size,True,43543,4981,0.10265023,2,,과거 이력 부족 또는 해당 기록 미관측; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_s1f_median,median valid historical seconds,S1F 이력,"DECIMAL(9,1)",HISTORICAL,average/summary,True,43543,4981,0.10265023,0,horse_recent3_s1f_count,과거 이력 부족 또는 해당 기록 미관측; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_s1f_count,valid observations,S1F 이력,INTEGER,HISTORICAL,count/sample-size,True,43543,4981,0.10265023,0,,과거 이력 부족 또는 해당 기록 미관측; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
horse_recent3_g3f_median,"median historical final 600m seconds; Seoul rcTime-seG3fAccTime, Busan bu_3fGTime",G3F 이력,"DECIMAL(9,1)",HISTORICAL,average/summary,True,43541,4983,0.10269145,0,horse_recent3_g3f_count,과거 이력 부족 또는 해당 기록 미관측; companion count로 구분,MODEL_INPUT,B_MODEL_INPUT_WITH_COMPANION,PIT-safe Historical 값; count/availability 맥락과 함께 사용
